,Noise_Type,Kurtosis_Wiener_R,Kurtosis_Wiener_G,Kurtosis_Wiener_B,Kurtosis_Median_R,Kurtosis_Median_G,Kurtosis_Median_B,Skewness_Wiener_R,Skewness_Wiener_G,Skewness_Wiener_B,Skewness_Median_R,Skewness_Median_G,Skewness_Median_B
186,0,128.6444683970711,123.82608428697885,122.78331727183642,-0.9900381174295214,-0.9787858873189026,-1.0355846592779658,9.519401480294468,9.455522437373352,9.359237255084082,1.0047182863637194,1.0103049645850268,0.9817781210339075
187,1,48.774631017756306,103.31219389722912,84.40699720868615,-1.9545136879217113,-1.9660513605741754,-1.9647671097527748,4.241420336889439,5.384231598324252,4.9624714686867035,0.185664974986357,0.15103409813784702,0.1558037832550456
188,3,28.09705266971882,27.277665919381814,32.17175722880209,-1.9541360898010562,-1.9475785847938643,-1.9627294249344152,2.4853706402788336,2.163552387619216,2.61915382586061,0.17594650307081586,0.17092562632273955,0.15008002609366858
189,0,102.92032017596954,103.29648132979077,144.7168674724596,-0.577328438560818,-0.5474726743899891,-0.6229520707290592,8.984071494814563,8.989953792907768,9.788680000288872,1.1926056668676168,1.2050596187211342,1.1733212636645127
190,1,140.87640637151227,40.40860373725954,125.71726040690115,-1.9662056561498806,-1.9654700090491213,-1.966667489345403,6.493983381862295,4.364620212641701,7.094334476901784,0.15153742817792454,0.15379368027808452,0.15002127736523146
191,3,46.23670672714483,57.32186933460021,93.7617388677287,-1.963293350689175,-0.4100058671730893,-1.9615191848730282,3.530878733800372,3.593791508697741,4.7105108583732145,0.14835270382788396,1.234229578213007,0.15486604683173458
192,0,107.12636271607371,109.02450338641853,128.02539339685845,1.5590800991774225,0.685972840585666,0.025035994158469688,9.149756422938522,9.202690292547425,9.687027309588,1.8864999718367363,1.638819239831277,1.4229326321885096
193,1,106.6175617250972,87.56045109077759,79.46760430828472,-0.9826105469703257,-1.7166541690964925,-1.9288066711690448,8.624117966322329,7.799502486054424,6.68169242739734,1.0019158392912506,0.5209085149248829,0.2452661980800435
194,3,60.0771225210874,71.88057413132098,173.64767497686347,-1.0008129414545857,5.808535276274759,-1.9276405457263603,4.931353880137471,4.8002610611231376,5.7041885677089486,0.9908560545595305,-2.5574474940099856,0.23970564799586275
195,0,240.93023195147504,273.4498416781681,194.32900429102244,-1.0321230869881381,-1.0213972593727791,-1.0993769232490354,12.319567495229261,12.775710200721187,11.179366510573395,0.9834220350398039,0.9888728434675905,0.9486190256600989
196,1,68980.00427100979,30682.587313141623,34845.32983209888,-1.9685482669723766,-1.9691864800591126,-1.9745892244259515,-254.45563530761578,-140.65195920676206,155.5537693078776,0.14229453656701277,0.14039213612871052,0.1194283305431801
197,3,67312.8433546285,28216.117932810695,9013.664371284889,-1.9658058433479375,-1.7516632408433215,-1.9674020708593045,-249.7284483006974,-126.1761538672383,60.56406322177937,0.13812065821047323,-0.4779984071135624,0.13204458726785093
198,0,466.50648151170407,750.8194242845593,269.1087393317234,-1.0297097321875197,-0.9789048257732116,-1.060521948759708,11.670674330365559,17.99922707516005,11.201225388466629,0.9846542202809127,1.010130648972617,0.9688894002099081
199,1,39543.15999350092,56514.272455437706,37400.12219648425,-1.9735609715226354,-1.9685637334696782,-1.9550412676933075,160.87012878684223,-224.70785026128195,162.33586210059752,0.1237985644552857,0.14195000077018988,0.1831739839390984
200,3,23022.77580577988,32834.92159351501,1386.746498488382,-1.9664935942126116,-1.766384002754774,-1.9536583385045285,140.87915223492627,-72.09214431971134,13.850626143311922,0.13641227148024002,0.4467349448107814,0.17671011317709281
201,0,208.0310122849402,195.14858718993784,168.89281902001164,-0.5098080901925512,-0.5070134827317005,-0.6887879591474912,11.002499505047036,10.798092461208721,10.169766784612204,1.2204887851026571,1.2216370114564756,1.1448233919442987
